mobileBrand,mobileModel,mobileOS,mobileRelease,mobilePrice
Gigabyte,Gigabyte GSmart G1355,Android 2.3.4,2012,219.45
Sony,Sony Ericsson A8i,Android-based OPhone 2.0,2010,2199.45
Samsung,Samsung X910,Feature phone,0,224.95
Sendo,Sendo S360,Feature phone,2004,191.95
LG,LG Watch Urbane W150,Android Wear OS 2.1,2015,219.45
Samsung,Samsung Galaxy Watch Active2,Tizen OS 4.0,2019,329.45
Amoi,Amoi WMA8508,Feature phone,0,235.95
alcatel,alcatel OT-985,Android 2.3.6,2012,191.95
Gionee,Gionee K6,Android 7.1,2020,109.45
Coolpad,Coolpad Shine,Android 5.1,2015,604.45
BLU,BLU J6 2020,Android 10,2020,274.45
Samsung,Samsung Z110,Feature phone,2004,219.45
Huawei,Huawei Mate 40 RS Porsche Design,"Android 10, EMUI 11, no Google Play Services",2020,164.45
Micromax,Micromax GC400,Feature phone,2010,16499.45
Nokia,Nokia 6080,Feature phone,2006,2749.45
Sony,Sony Xperia M4 Aqua Dual,"Android 5.0, up to 6.0",2015,824.45
Pantech,Pantech PG-3600V,Feature phone,2006,1264.45
Micromax,Micromax Bolt Q338,Android 5.1,2015,1044.45
Motorola,Motorola Moto E7,Android 10,2020,136.95
Philips,Philips V377,Android 5.1,2015,191.95
Samsung,Samsung Galaxy S7 mini,"Android 6.0, TouchWiz UI",0,219.45
Samsung,Samsung Galaxy S6 edge+ Duos,"Android 5.1.1, up to 6.0.1, TouchWiz UI",2015,494.45
Samsung,Samsung X650,Feature phone,2006,164.45
Philips,Philips Xenium 9@9u,Feature phone,2008,356.95
Micromax,Micromax X102,Feature phone,2012,208.45
LG,LG X3,Android 4.0,0,1044.45
Samsung,Samsung i505,Palm 5.2.1,0,879.45
Samsung,Samsung E1232B,Feature phone,2011,1099.45
NIU,NIU Bingo N103,Feature phone,2012,1924.45
Philips,Philips 755,Feature phone,2004,2749.45
Palm,Palm Treo 750v,Microsoft Windows Mobile 5.0 PocketPC,2006,180.95
Garmin-Asus,Garmin-Asus A10,Android 2.1,2010,3849.45
Samsung,Samsung Galaxy S9 Active,Android 8.0,0,191.95
Sewon,Sewon SGD-105,Feature phone,2004,1044.45
Mitac,Mitac MIO A501,Windows Mobile 5 AKU3.3,0,1649.45
LG,LG Optimus L9 P760,"Android 4.0.4, up to 4.1.2",2012,439.45
Motorola,Motorola Karma QA1,Feature phone,2009,3299.45
Samsung,Samsung Z710,Feature phone,2006,1374.45
Huawei,Huawei G6620,Feature phone,2011,1099.45
Huawei,Huawei Enjoy 20 SE,"Android 10, EMUI 10.1",2021,274.45
Telit,Telit t410,Feature phone,2005,3299.45
Oppo,Oppo A32,"Android 10, ColorOS 7.2",2020,6599.45
Samsung,Samsung Galaxy Note 8.0,"Android 4.1.2, up to 4.4",2013,1924.45
LG,LG GX200,Feature phone,2010,1649.45
LG,LG Thrill 4G P925,"Android 2.2, up to 2.3",2011,1044.45
Micromax,Micromax Vdeo 1,Android 6.0,2016,109.45
Celkon,Celkon Campus Nova A352E,Android 4.2.2,2014,384.45
TCL,TCL MoveTime,Proprietary OS,2021,3299.45
Samsung,Samsung Q105,Feature phone,2001,3299.45
Asus,Asus Zenfone 2 Laser ZE500KG,"Android 5.0, up to 6.0, ZenUI",2015,252.45
Micromax,Micromax X246,Feature phone,2012,411.95
Nokia,Nokia C5 TD-SCDMA,"Symbian 9.3, Series 60 rel. 3.2",2010,246.95
Honor,Honor V30,"Android 10, Magic UI 3",2019,323.95
Lava,Lava Iris X8,"Android 4.4.2, up to 5.1",2015,125.95
Motorola,Motorola VE538,Feature phone,2009,329.45
Apple,Apple iPad Pro 11 (2020),"iPadOS 13.4, up to iPadOS 14.6",2020,1924.45
alcatel,alcatel Idol 5s,Android 7.1,2017,109.45
BLU,BLU Life Max,Android 6.0,2016,329.45
BLU,BLU Vivo Selfie,Android 5.0,2015,137.5
HTC,HTC Shift,Microsoft Vista Business and SnapVUE OS,2008,1099.45
i-mobile,i-mobile 518,Feature phone,2007,213.95
Lenovo,Lenovo Vibe K5,Android 5.1,2016,1924.45
Samsung,Samsung Galaxy Ace Style LTE G357,Android 4.4.4,2014,16499.45
Motorola,Motorola Moto G8 Power,"Android 10, up to Android 11",2020,2199.45
XOLO,XOLO Q3000,Android 4.2,2013,219.45
BLU,BLU Energy X 2,Android 5.1,2016,153.45
BenQ-Siemens,BenQ-Siemens S68,Feature phone,2006,1924.45
Maxwest,Maxwest Gravity 5,Android 4.4.2,2015,1649.45
Oppo,Oppo F11,"Android 9.0, ColorOS 6",2019,4399.45
Gionee,Gionee S12,Android 10,2020,1099.45
XOLO,XOLO A500S,Android 4.2,2013,329.45
XOLO,XOLO A500S,Android 4.2,2013,2749.45
i-mobile,i-mobile TV 620,Feature phone,2009,329.45
Motorola,Motorola A768i,Linux,2004,274.45
Xiaomi,Xiaomi Mi 10 Pro 5G,"Android 10, up to Android 11, MIUI 12.5",2020,175.45
LG,LG G Pad II 8.0 LTE,Android 5.0.2,2015,301.95
BenQ-Siemens,BenQ-Siemens E61,Feature phone,2006,136.95
T-Mobile,T-Mobile G1,Android 1.6,2008,3299.45
Haier,Haier V280,Feature phone,2005,824.45
Apple,Apple iPhone XS Max,"iOS 12, up to iOS 14.7",2018,164.45
Xiaomi,Xiaomi Mi 8 Explorer,"Android 8.1, up to Android 10, MIUI 12",2018,274.45
Nokia,Nokia 5.3,"Android 10, Android One",2020,1924.45
LG,LG L Prime,Android 4.4.2,2014,549.45
alcatel,alcatel Idol 5s,Android 7.1,2017,125.95
Allview,Allview Soul X5 Pro,Android 8.1,2018,136.95
Intex,Intex Aqua Speed,"Android 4.4.2, up to 5.0",2015,2199.45
Panasonic,Panasonic P88,Android 6.0,2016,1924.45
Karbonn,Karbonn K440,Feature phone,2012,1264.45
Nokia,Nokia 5500 Sport,"Symbian 9.1, Series 60 rel. 3.0",2006,604.45
Motorola,Motorola Moto G6,"Android 8.0, up to Android 9.0",2018,1649.45
Wiko,Wiko View3 Pro,Android 9.0,2019,2199.45
Asus,Asus Transformer Pad TF300T,"Android 4.0, up to 4.2",2012,329.45
LG,LG G Pad II 10.1,Android 5.1.1,2015,164.45
alcatel,alcatel OT-C651,Feature phone,2005,136.95
Sony,Sony Ericsson C901 GreenHeart,Feature phone,2009,1649.45
Karbonn,Karbonn A7 Star,Android 4.0,2013,153.45
Samsung,Samsung Z230,Feature phone,2006,1649.45
Samsung,Samsung SCH-B100,Feature phone,2005,301.95
Samsung,Samsung B7722,Feature phone,2010,1099.45
Micromax,Micromax Canvas Tab P470,Android 4.4.2,2015,274.45
Oppo,Oppo A9 (2020),"Android 9.0, up to Android 10, ColorOS 7.1",2019,1099.45
OnePlus,OnePlus One,"Android 4.4.2, up to 6.0.1",2014,1649.45
Huawei,Huawei Mate 10 Pro,"Android 8.0, up to Android 10, EMUI 10.2",2017,274.45
Panasonic,Panasonic G50,Feature phone,2003,1924.45
Acer,Acer Liquid Z3,Android 4.2,2013,3299.45
Siemens,Siemens A55,Feature phone,2003,3299.45
Coolpad,Coolpad Shine,Android 5.1,2015,2199.45
Samsung,Samsung Mpower Muzik 219,Feature phone,2010,329.45
Tecno,Tecno Camon 16 Premier,"Android 10, HIOS 6.0",2020,136.95
Lava,Lava Iris 470,Android 4.4.2,2015,125.95
Honor,Honor 6C Pro,"Android 7.0, EMUI 5.1",2017,98.45
Asus,Asus Zenfone 2 Laser ZE550KL,"Android 5.0, up to 6.0, ZenUI",2015,235.95
Sony,Sony SmartWatch 3 SWR50,Android Wear OS,2014,208.45
Samsung,Samsung Galaxy J2,Android 5.1.1,2015,329.45
Lenovo,Lenovo S5,"Android 8.0, ZUI 3.7",2018,219.45
Allview,Allview X4 Soul Mini S,Android 7.0,2017,329.45
Eten,Eten P700,Microsoft Windows Mobile 2003 PocketPC,2004,136.95
Huawei,Huawei T211,Feature phone,2008,136.95
Vodafone,Vodafone Smart 4 mini,Android 4.2.2,2014,1924.45
Yezz,Yezz Andy C5E LTE,Android 5.1,2015,329.45
O2,O2 XDA Stellar,Microsoft Windows Mobile 6.0 Professional,0,153.45
Spice,Spice Mi-350,Android 2.3,2011,219.45
XOLO,XOLO Q700s plus,Android 4.4.2,2014,136.95
Sony,Sony Ericsson Z700,Feature phone,0,4949.45
Samsung,Samsung M930 Transform Ultra,Android 2.3,2011,301.95
BenQ,BenQ F52,Android 5.0,2015,3299.45
Motorola,Motorola BRAVO MB520,"Android 2.1, up to 2.2",2010,2529.45
Vertu,Vertu Constellation,"Symbian^3, up to Nokia Belle OS",2011,1374.45
Micromax,Micromax M2,Feature phone,2011,274.45
Siemens,Siemens A31,Feature phone,2005,3299.45
Nokia,Nokia 6820,Feature phone,2003,164.45
ZTE,ZTE Blade V20,"Android 9.0, MiFavor 9.0",0,411.95
Micromax,Micromax A300 Canvas Gold,Android 4.4.2,2014,301.95
Huawei,Huawei P smart 2021,"Android 10, EMUI 10.1",2020,2199.45
LG,LG G Flex2,"Android 5.0.1, up to 6.0.1",2015,879.45
Motorola,Motorola V560,Feature phone,0,384.45
Nokia,Nokia 6288,Feature phone,2006,1374.45
Motorola,Motorola V3x,Feature phone,2005,2749.45
HP,HP Pro Slate 8,Android 4.4.4,2015,1924.45
Nokia,Nokia 6060,Feature phone,2005,2199.45
Xiaomi,Xiaomi Black Shark 2 Pro,Android 9.0,2019,824.45
LG,LG K71,Android 10,2020,2749.45
LG,LG Optimus Chat C550,Android 2.2,2011,164.45
Sharp,Sharp MS1,Android 6.0,2016,274.45
Samsung,Samsung A997 Rugby III,Feature phone,2012,164.45
Ulefone,Ulefone T2 Pro,Android 8.1,0,2199.45
Sony,Sony Ericsson Aino,Feature phone,2009,3024.45
Motorola,Motorola XT800 ZHISHANG,Android 2.0,2010,274.45
BenQ,BenQ C30,Feature phone,0,301.95
LG,LG KP100,Feature phone,2008,466.95
Motorola,Motorola Moto 360 46mm (2nd gen),Android Wear OS 2.1,2015,125.95
Samsung,Samsung C3510 Genoa,Feature phone,2010,109.45
BLU,BLU Vivo Air,Android 4.4.2,2015,1429.45
verykool,verykool SL5000 Quantum,Android 4.4.2,2014,136.95
NEC,NEC e101,Feature phone,2004,1044.45
Motorola,Motorola RAZR2 V9,Feature phone,2007,219.45
Pantech,Pantech PG-3500,Feature phone,2005,301.95
Meizu,Meizu MX4 Pro,"Android 4.4.4, Flyme 4",2014,213.95
Intex,Intex Aqua 4.5E,Android 4.4.2,2014,1099.45
XCute,XCute DV1,Feature phone,2005,7149.45
BLU,BLU Dash X2,Android 6.0,2016,1925
